1.9489, 1.8629
1.7752, 1.6869
1.1394, 1.1956
1.3845, 1.4245
1.0233, 1.0196
1.3596, 1.2536
1.8740, 1.8218
1.1298, 1.1403
0.9208, 0.9990
2.8237, 2.6625
0.6590, 0.7482
0.9675, 0.9881
0.7504, 0.8425
1.0051, 1.0746
0.6618, 0.7719
0.4867, 0.5858
0.5663, 0.7043
0.5670, 0.6621
0.5723, 0.6871
0.5039, 0.6420
0.5921, 0.6912
0.7337, 0.8758
0.3150, 0.4710
0.3178, 0.4901
0.2823, 0.4649
0.3068, 0.4946
0.2556, 0.4810
0.2704, 0.5127
0.2957, 0.5137
0.2521, 0.4497
0.2466, 0.4468
0.2525, 0.4754
0.3363, 0.5452
0.2610, 0.4936
0.2893, 0.4981
0.2567, 0.5083
0.2187, 0.4107
0.2591, 0.4637
0.2637, 0.5285
0.2556, 0.5231
0.2191, 0.4535
0.3102, 0.5276
0.2478, 0.4955
0.1860, 0.4253
0.1930, 0.4462
0.1688, 0.4107
0.1684, 0.4174
0.1907, 0.4569
0.1842, 0.4546
0.1558, 0.4118
0.1555, 0.4226
0.1467, 0.4061
0.1492, 0.4138
0.1539, 0.4279
0.1483, 0.4159
0.1458, 0.4009
0.1496, 0.4027
0.1509, 0.4140
0.1422, 0.4133
0.1558, 0.4208
0.1447, 0.3953
0.1434, 0.4015
0.1380, 0.3896
0.1391, 0.4050
0.1426, 0.4114
0.1484, 0.4311
